Date,Division,Item,Function,Income_corr
2023-03,France,LL,Shoes,20
2023-03,France,LL,Apparel,32
2023-03,France,LL,Devices,86
2023-03,France,LL,Smart,39
2023-03,France,GG,Shoes,40
2023-03,France,GG,Apparel,73
2023-03,France,II,Shoes,96
2023-03,France,II,Apparel,2
2023-03,Stockholm,LL,Shoes,85
2023-03,Stockholm,LL,Apparel,89
2023-03,Stockholm,LL,Devices,7
2023-03,Stockholm,LL,Smart,45
2023-03,Stockholm,GG,Shoes,83
2023-03,Stockholm,GG,Apparel,8
2023-03,Stockholm,II,Shoes,63
2023-03,Stockholm,II,Apparel,28
2023-06,France,LL,Shoes,85
2023-06,France,LL,Apparel,83
2023-06,France,LL,Devices,51
2023-06,France,LL,Smart,49
2023-06,France,GG,Shoes,12
2023-06,France,GG,Apparel,99
2023-06,France,II,Shoes,19
2023-06,France,II,Apparel,29
2023-06,Stockholm,LL,Shoes,90
2023-06,Stockholm,LL,Apparel,1
2023-06,Stockholm,LL,Devices,98
2023-06,Stockholm,LL,Smart,4
2023-06,Stockholm,GG,Shoes,24
2023-06,Stockholm,GG,Apparel,15
2023-06,Stockholm,II,Shoes,71
2023-06,Stockholm,II,Apparel,84
2023-09,France,LL,Shoes,0
2023-09,France,LL,Apparel,48
2023-09,France,LL,Devices,37
2023-09,France,LL,Smart,54
2023-09,France,GG,Shoes,78
2023-09,France,GG,Apparel,5
2023-09,France,II,Shoes,61
2023-09,France,II,Apparel,97
2023-09,Stockholm,LL,Shoes,7
2023-09,Stockholm,LL,Apparel,71
2023-09,Stockholm,LL,Devices,8
2023-09,Stockholm,LL,Smart,65
2023-09,Stockholm,GG,Shoes,88
2023-09,Stockholm,GG,Apparel,4
2023-09,Stockholm,II,Shoes,86
2023-09,Stockholm,II,Apparel,82
2023-12,France,LL,Shoes,95
2023-12,France,LL,Apparel,45
2023-12,France,LL,Devices,6
2023-12,France,LL,Smart,86
2023-12,France,GG,Shoes,2
2023-12,France,GG,Apparel,45
2023-12,France,II,Shoes,27
2023-12,France,II,Apparel,59
2023-12,Stockholm,LL,Shoes,5
2023-12,Stockholm,LL,Apparel,26
2023-12,Stockholm,LL,Devices,98
2023-12,Stockholm,LL,Smart,65
2023-12,Stockholm,GG,Shoes,43
2023-12,Stockholm,GG,Apparel,56
2023-12,Stockholm,II,Shoes,3
2023-12,Stockholm,II,Apparel,95
2024-03,France,LL,Shoes,9
2024-03,France,LL,Apparel,41
2024-03,France,LL,Devices,15
2024-03,France,LL,Smart,52
2024-03,France,GG,Shoes,95
2024-03,France,GG,Apparel,92
2024-03,France,II,Shoes,98
2024-03,France,II,Apparel,1
2024-03,Stockholm,LL,Shoes,78
2024-03,Stockholm,LL,Apparel,97
2024-03,Stockholm,LL,Devices,14
2024-03,Stockholm,LL,Smart,18
2024-03,Stockholm,GG,Shoes,48
2024-03,Stockholm,GG,Apparel,40
2024-03,Stockholm,II,Shoes,42
2024-03,Stockholm,II,Apparel,33
2024-06,France,LL,Shoes,2
2024-06,France,LL,Apparel,82
2024-06,France,LL,Devices,94
2024-06,France,LL,Smart,47
2024-06,France,GG,Shoes,24
2024-06,France,GG,Apparel,93
2024-06,France,II,Shoes,24
2024-06,France,II,Apparel,24
2024-06,Stockholm,LL,Shoes,46
2024-06,Stockholm,LL,Apparel,48
2024-06,Stockholm,LL,Devices,53
2024-06,Stockholm,LL,Smart,78
2024-06,Stockholm,GG,Shoes,60
2024-06,Stockholm,GG,Apparel,23
2024-06,Stockholm,II,Shoes,55
2024-06,Stockholm,II,Apparel,90
2024-09,France,LL,Shoes,66
2024-09,France,LL,Apparel,5
2024-09,France,LL,Devices,64
2024-09,France,LL,Smart,56
2024-09,France,GG,Shoes,37
2024-09,France,GG,Apparel,54
2024-09,France,II,Shoes,88
2024-09,France,II,Apparel,93
2024-09,Stockholm,LL,Shoes,45
2024-09,Stockholm,LL,Apparel,35
2024-09,Stockholm,LL,Devices,77
2024-09,Stockholm,LL,Smart,15
2024-09,Stockholm,GG,Shoes,40
2024-09,Stockholm,GG,Apparel,64
2024-09,Stockholm,II,Shoes,3
2024-09,Stockholm,II,Apparel,60
2024-12,France,LL,Shoes,62
2024-12,France,LL,Apparel,83
2024-12,France,LL,Devices,12
2024-12,France,LL,Smart,44
2024-12,France,GG,Shoes,71
2024-12,France,GG,Apparel,62
2024-12,France,II,Shoes,65
2024-12,France,II,Apparel,35
2024-12,Stockholm,LL,Shoes,67
2024-12,Stockholm,LL,Apparel,6
2024-12,Stockholm,LL,Devices,85
2024-12,Stockholm,LL,Smart,75
2024-12,Stockholm,GG,Shoes,69
2024-12,Stockholm,GG,Apparel,16
2024-12,Stockholm,II,Shoes,16
2024-12,Stockholm,II,Apparel,93
