Date,Entity,Division,Function,WW_Income,DP_Income,PP_Income,WW_Amount,DP_Amount,PP_Amount
2023-03,EU,France,Shoes,2.6,5.6,9.091215937,84,56,142.7991779
2023-03,EU,France,Apparel,4.9,9.3,14.31105509,19,61,88.71436417
2023-03,EU,France,Devices,9.7,0.4,11.00489165,96,90,186.4875729
2023-03,EU,France,Smart,8.7,6.4,15.21175366,72,17,98.56899264
2023-03,EU,Stockholm,Shoes,8.3,4.7,13.21338045,56,59,118.9318481
2023-03,EU,Stockholm,Apparel,9.2,7.9,17.90387179,53,83,136.2292929
2023-03,EU,Stockholm,Devices,0.1,5.3,6.328832968,29,1,35.43907849
2023-03,EU,Stockholm,Smart,8.6,6.4,15.10740799,93,77,176.848529
2023-06,EU,France,Shoes,6.6,1.3,8.687375804,59,18,78.06168398
2023-06,EU,France,Apparel,3,1.1,4.326241976,63,82,146.5218968
2023-06,EU,France,Devices,7,2.4,9.801159763,81,49,137.0440363
2023-06,EU,France,Smart,6.5,6.8,14.05503548,60,72,141.3625473
2023-06,EU,Stockholm,Shoes,6.9,5.3,12.3952682,51,49,105.9419056
2023-06,EU,Stockholm,Apparel,6.9,4.3,11.7162792,27,73,104.7560452
2023-06,EU,Stockholm,Devices,2.1,5,7.232234517,52,45,100.7908791
2023-06,EU,Stockholm,Smart,9.7,8.3,18.54166526,55,59,122.5163842
2023-09,EU,France,Shoes,2.9,9.4,13.27091816,46,13,66.19563441
2023-09,EU,France,Apparel,0.1,2.7,3.487605808,23,92,115.2200863
2023-09,EU,France,Devices,8,5.7,14.05114403,49,95,145.1070913
2023-09,EU,France,Smart,6.9,3.2,10.76254719,48,56,108.6199837
2023-09,EU,Stockholm,Shoes,3.8,6.4,10.94970659,91,66,166.9596146
2023-09,EU,Stockholm,Apparel,2.4,6.5,8.912057691,82,20,103.7945903
2023-09,EU,Stockholm,Devices,8.6,6.2,15.53900565,19,3,26.60324715
2023-09,EU,Stockholm,Smart,5.5,7.1,13.46765868,54,46,103.1031168
2023-12,EU,France,Shoes,3.5,0.3,4.426719551,68,86,159.0317629
2023-12,EU,France,Apparel,2.6,8.4,11.53754547,88,42,139.1732222
2023-12,EU,France,Devices,8.6,1.8,10.65746388,22,26,55.42831283
2023-12,EU,France,Smart,6.4,0.8,8.186596583,91,72,170.6035435
2023-12,EU,Stockholm,Shoes,2.1,9.4,12.03821025,67,98,165.027838
2023-12,EU,Stockholm,Apparel,5.3,0.6,6.442881645,76,96,179.4274048
2023-12,EU,Stockholm,Devices,8.7,2.6,12.01254785,55,43,107.3529368
